iter	RMSE
273	45259.71996
274	45232.65681
275	45208.60388
276	45185.1898
277	45147.40331
278	45124.58549
279	45103.93973
280	45078.74206
281	45022.3926
282	45000.81079
283	44975.7499
284	44917.70775
285	44899.87967
286	44850.37682
287	44831.09687
288	44810.9269
289	44787.7199
290	44752.59727
291	44704.48044
292	44695.58704
293	44639.59826
294	44618.79874
295	44596.47834
296	44578.44542
297	44554.87301
298	44536.3476
299	44514.62774
300	44494.165
301	44472.89846
302	44455.06566
303	44440.39123
304	44415.62586
305	44394.46124
306	44358.42258
307	44341.28656
308	44322.29408
309	44305.57978
310	44282.28119
311	44261.49654
312	44242.97415
313	44212.43824
314	44196.02711
315	44180.03211
316	44163.13708
317	44146.41987
318	44127.49282
319	44100.16848
320	44081.9514
321	44063.65866
322	44045.45571
323	44031.8995
324	44014.58652
325	43999.14748
326	43972.23871
327	43951.92197
328	43937.8891
329	43924.19784
330	43850.03731
331	43817.56209
332	43805.01057
333	43789.1471
334	43776.23862
335	43751.87119
336	43739.30124
337	43686.13821
338	43668.77309
339	43634.58983
340	43621.16324
341	43584.52619
342	43533.97599
343	43511.8796
344	43498.81035
345	43473.54401
346	43437.28421
347	43420.68982
348	43372.24968
349	43325.38676
350	43301.74625
351	43290.0519
352	43275.69902
353	43260.56099
354	43241.464
355	43219.01707
356	43203.93389
357	43190.11456
358	43166.66896
359	43156.31354
360	43141.10327
361	43129.32352
362	43116.63335
363	43103.61795
364	43090.9781
365	43079.66563
366	43070.43287
367	43051.41205
368	43040.42651
369	43030.34293
370	43008.28035
371	42992.39037
372	42984.11295
373	42967.67784
374	42951.94554
375	42935.61712
376	42924.90613
377	42907.40137
378	42881.94771
379	42870.15963
380	42859.87446
381	42841.88992
382	42782.22374
383	42767.72108
384	42759.03652
385	42736.54213
386	42724.4292
387	42710.54767
388	42697.39782
389	42683.21151
390	42672.11781
391	42653.40636
392	42635.20141
393	42630.4389
394	42599.38619
395	42587.19698
396	42573.6723
397	42551.03176
398	42534.77106
399	42491.98023
400	42479.64662
401	42465.56161
402	42450.98022
403	42403.10611
404	42392.7691
405	42377.54701
406	42368.72763
407	42327.74461
408	42308.60422
409	42300.47971
410	42262.14642
411	42249.09397
412	42232.33957
413	42203.72469
414	42188.51138
415	42167.91312
416	42158.87121
417	42146.54102
418	42133.58666
419	42117.7316
420	42109.80959
421	42098.81698
422	42091.11153
423	42081.88946
424	42074.45303
425	42065.35997
426	42018.26609
427	42004.89112
428	41990.01018
429	41979.17214
430	41951.0689
431	41923.5221
432	41886.77702
433	41876.97343
434	41824.12255
435	41808.33886
436	41790.80094
437	41744.62414
438	41724.39132
439	41710.27234
440	41700.35854
441	41692.45712
442	41656.24249
443	41621.38499
444	41594.75485
445	41575.6028
446	41537.52877
447	41530.97544
448	41515.01228
449	41501.48494
450	41488.31469
451	41479.03105
452	41444.75108
453	41431.09374
454	41422.74915
455	41385.93915
456	41376.91117
457	41371.05141
458	41328.6212
459	41320.8189
460	41303.38762
461	41291.02918
462	41246.80173
463	41238.25395
464	41210.27373
465	41198.48661
466	41187.00398
467	41177.10428
468	41162.49578
469	41153.6035
470	41139.77661
471	41128.31692
472	41074.17544
473	41057.23259
474	41049.57384
475	41016.77717
476	40982.14583
477	40973.1854
478	40965.7353
479	40925.76139
480	40901.27762
481	40890.95348
482	40881.55888
483	40858.14509
484	40852.12664
485	40819.3595
486	40779.28299
487	40769.46937
488	40752.48911
489	40725.79288
490	40693.01141
491	40680.76627
492	40658.97831
493	40636.83328
494	40604.46506
495	40598.1887
496	40593.59709
497	40561.52099
498	40539.65167
499	40524.22611
500	40518.54747
501	40512.01306
502	40492.49114
503	40482.39806
504	40461.62361
505	40447.7305
506	40430.48054
507	40399.77358
508	40393.06265
509	40362.23161
510	40331.63202
511	40301.59693
512	40294.27253
513	40274.03887
514	40254.4285
515	40224.64052
516	40205.61616
517	40185.02861
518	40178.22384
519	40146.63145
520	40122.8253
521	40093.64163
522	40064.99403
523	40061.36992
524	40042.66865
525	40034.89788
526	40007.28559
527	39997.11973
528	39969.45894
529	39946.72953
530	39937.81877
531	39914.01114
532	39871.54216
533	39852.63598
534	39838.77159
535	39799.03793
536	39770.7231
537	39758.3966
538	39749.41228
539	39737.88394
540	39716.23738
541	39702.94525
542	39694.33707
543	39676.3936
544	39663.75391
545	39643.31635
546	39631.45309
547	39605.40549
548	39590.21965
549	39573.18348
550	39560.41718
551	39527.1789
552	39522.70237
553	39497.74756
554	39473.48269
555	39465.37773
556	39453.39885
557	39441.9588
558	39436.44277
559	39410.47273
560	39398.85318
561	39375.51583
562	39352.49832
563	39335.83656
564	39323.3701
565	39317.80775
566	39312.39239
567	39303.443
568	39297.92557
569	39281.35288
570	39268.80294
571	39260.187
572	39241.25173
573	39220.61737
574	39197.53117
575	39180.71845
576	39175.46421
577	39167.18127
578	39151.17571
579	39135.63928
580	39123.33057
581	39110.59679
582	39084.08525
583	39075.67617
584	39053.0241
585	39044.54449
586	39029.53413
587	39007.3747
588	38990.3119
589	38985.39378
590	38970.19161
591	38946.95514
592	38932.46667
593	38928.80766
594	38910.47627
595	38903.61985
596	38886.64288
597	38858.03997
598	38837.01877
599	38822.25537
600	38817.53604
601	38787.14926
602	38752.82834
603	38737.67277
604	38733.66166
605	38719.54173
606	38707.96036
607	38698.46454
608	38688.43121
609	38677.86045
610	38657.39498
611	38637.26819
612	38623.73592
613	38610.21101
614	38599.09175
615	38589.43013
616	38569.77783
617	38546.24712
618	38535.4035
619	38523.49286
620	38512.24721
621	38507.15059
622	38495.54268
623	38479.01428
624	38460.40922
625	38445.65069
626	38431.69835
627	38424.89329
628	38414.0107
629	38409.20565
630	38397.38
631	38377.35296
632	38373.09619
633	38362.64588
634	38351.37975
635	38347.6089
636	38326.67472
637	38323.12577
638	38305.02075
639	38299.78723
640	38282.05136
641	38277.37694
642	38265.42623
643	38257.96878
644	38252.68716
645	38239.12269
646	38227.48673
647	38211.22907
648	38206.7182
649	38189.5357
650	38180.06747
651	38168.98737
652	38165.11748
653	38156.669
654	38139.81722
655	38132.48043
656	38108.73003
657	38104.20045
658	38093.96101
659	38083.5324
660	38066.55722
661	38057.80496
662	38050.54981
663	38033.88385
664	38017.52896
665	38010.22395
666	37994.52014
667	37978.86207
668	37960.90828
669	37955.1295
670	37948.08994
671	37939.06967
672	37918.08465
673	37889.85992
674	37878.85395
675	37875.67498
676	37873.26088
677	37858.49596
678	37854.11757
679	37846.58212
680	37830.7793
681	37825.63636
682	37819.40594
683	37797.44507
684	37794.43499
685	37784.64023
686	37752.22609
687	37742.73647
688	37739.80184
689	37734.32425
690	37730.30295
691	37709.05467
692	37699.47684
693	37689.24417
694	37681.43562
695	37667.46504
696	37664.88983
697	37660.2495
698	37650.41882
699	37606.9912
700	37590.21426
701	37575.03457
702	37557.40855
703	37540.29026
704	37526.77715
705	37511.57842
706	37483.55158
707	37480.23613
708	37467.60685
709	37454.29095
710	37445.852
711	37419.00846
712	37402.89764
713	37397.98427
714	37393.62472
715	37380.79534
716	37375.3163
717	37366.41914
718	37356.29517
719	37350.18386
720	37342.76141
721	37333.4461
722	37324.9118
723	37321.73381
724	37319.39062
725	37311.48591
726	37285.95187
727	37267.83688
728	37260.37117
729	37254.44609
730	37251.18487
731	37245.01008
732	37232.18233
733	37228.80419
734	37216.59751
735	37204.85941
736	37201.44484
737	37189.74301
738	37181.33913
739	37157.31928
740	37153.21509
741	37141.83126
742	37132.66629
743	37129.68781
744	37114.67815
745	37101.25041
746	37090.04991
747	37084.80048
748	37081.48466
749	37077.8098
750	37069.46635
751	37052.17531
752	37039.50928
753	37032.28342
754	37027.61472
755	37023.49471
756	37021.2421
757	37009.43956
758	36965.48052
759	36957.789
760	36947.1757
761	36938.26581
762	36933.22793
763	36922.47963
764	36910.93456
765	36896.19863
766	36892.36538
767	36886.41191
768	36878.84697
769	36870.69496
770	36860.61322
771	36857.41423
772	36856.96319
773	36854.65016
774	36851.19098
775	36841.21516
776	36834.70253
777	36820.04953
778	36818.37974
779	36800.11224
780	36798.10372
781	36789.41966
782	36777.71819
783	36771.96186
784	36762.36991
785	36756.69613
786	36746.95112
787	36725.1081
788	36715.77208
789	36706.59704
790	36699.23399
791	36691.06913
792	36682.03718
793	36672.96171
794	36659.7382
795	36650.75228
796	36642.25785
797	36621.4406
798	36619.35859
799	36610.06762
800	36598.26145
801	36590.15398
802	36582.02358
803	36579.01538
804	36570.41954
805	36566.23147
806	36560.64516
807	36555.20563
808	36545.9427
809	36525.8071
810	36520.45797
811	36518.44043
812	36514.895
813	36512.07757
814	36504.15209
815	36502.17236
816	36488.59019
817	36480.42765
818	36471.65063
819	36463.83383
820	36460.02339
821	36452.87534
822	36445.15055
823	36430.95739
824	36426.24413
825	36422.28182
826	36414.65693
827	36408.55467
828	36406.2153
829	36404.24393
830	36396.8326
831	36389.49763
832	36385.79736
833	36371.92651
834	36360.56954
835	36354.73112
836	36335.5572
837	36323.23784
838	36316.24165
839	36313.72362
840	36306.60911
841	36298.68417
842	36287.06791
843	36279.61891
844	36269.30242
845	36262.83305
846	36256.00659
847	36249.333
848	36242.63695
849	36237.79808
850	36234.51158
851	36225.23053
852	36218.8533
853	36212.31638
854	36209.81897
855	36203.0142
856	36196.61917
857	36184.931
858	36178.69593
859	36172.68468
860	36165.77243
861	36163.1285
862	36160.12204
863	36153.97699
864	36149.88065
865	36142.15642
866	36130.6176
867	36113.67712
868	36101.42793
869	36098.49795
870	36092.63493
871	36089.52601
872	36082.78542
873	36064.5756
874	36056.1671
875	36050.19685
876	36043.33522
877	36031.6794
878	36024.04397
879	36018.20315
880	36011.84981
881	36010.27622
882	36002.53053
883	35992.53781
884	35984.31901
885	35982.64402
886	35976.32873
887	35970.74802
888	35965.28766
889	35947.92634
890	35945.34568
891	35943.77117
892	35940.31985
893	35934.81996
894	35929.70128
895	35924.39038
896	35922.66859
897	35914.77726
898	35911.2558
899	35909.78183
900	35904.35276
901	35898.90105
902	35892.95485
903	35887.72383
904	35879.17223
905	35875.1398
906	35869.36387
907	35858.94126
908	35857.73479
909	35852.12557
910	35843.18673
911	35841.13243
912	35837.79672
913	35835.98282
914	35830.10745
915	35823.53586
916	35817.37374
917	35814.77045
918	35791.80462
919	35788.42756
920	35785.9213
921	35783.25602
922	35777.40144
923	35774.81243
924	35770.77777
925	35764.94165
926	35759.1442
927	35756.7595
928	35751.66761
929	35739.45889
930	35733.10662
931	35728.18279
932	35719.30357
933	35711.10881
934	35705.36814
935	35701.3641
936	35699.05623
937	35695.9971
938	35693.30329
939	35683.39043
940	35663.84393
941	35658.29545
942	35653.19523
943	35649.60465
944	35647.83566
945	35639.78179
946	35637.27791
947	35627.64105
948	35625.02527
949	35617.99964
950	35613.1948
951	35607.1332
952	35601.7529
953	35594.95278
954	35583.71091
955	35578.58457
956	35576.65171
957	35571.22796
958	35566.15893
959	35564.46573
960	35549.69077
961	35545.19069
962	35534.90032
963	35533.50621
964	35529.13628
965	35524.15445
966	35517.64163
967	35515.50022
968	35505.85282
969	35501.5792
970	35500.02063
971	35488.05338
972	35483.31669
973	35470.55701
974	35466.35249
975	35457.37014
976	35451.84815
977	35443.96183
978	35439.29089
979	35435.44178
980	35432.79898
981	35428.48956
982	35421.46718
983	35419.71909
984	35412.5677
985	35409.05541
986	35405.70536
987	35387.22795
988	35382.43982
989	35372.00573
990	35364.33061
991	35358.95271
992	35345.50363
993	35340.41483
994	35329.49213
995	35325.33514
996	35322.74076
997	35317.48835
998	35308.8976
999	35304.68499
